Rank,Title,Artist
1,Not Like Us,Kendrick Lamar
2,APT.,"Rosé, Bruno Mars"
3,Messy,Lola Young
4,That's So True,Gracie Abrams
5,Birds Of A Feather,Billie Eilish
6,Die With A Smile,"Lady Gaga, Bruno Mars"
7,Pink Pony Club,Chappell Roan
8,Luther,Kendrick Lamar
9,Beautiful Things,Benson Boone
10,"Good Luck, Babe!",Chappell Roan
11,The Days - NOTION Remix,Chrystal
12,Abracadabra,Lady Gaga
13,Denial Is A River,Doechii
14,A Bar Song (Tipsy),Shaboozey
15,Espresso,Sabrina Carpenter
16,TV Off,Kendrick Lamar
17,Sports car,Tate McRae
18,I Had Some Help,Post Malone Feat. Morgan Wallen
19,Taste,Sabrina Carpenter
20,Timeless,"The Weeknd, Playboi Carti"
21,Sailor Song,Gigi Perez
22,All The Stars,Kendrick Lamar & SZA
23,Wildflower,Billie Eilish
24,Lose Control,Teddy Swims
25,Guess,Charli XCX Feat. Billie Eilish
26,Ain't No Love In Oklahoma (From Twisters: The Album),Luke Combs
27,Ordinary,Alex Warren
28,Where The Wild Things Are,Luke Combs
29,Too Sweet,Hozier
30,When It Rains It Pours,Luke Combs
31,Fast Car,Luke Combs
32,Slow It Down,Benson Boone
33,Dreamin,Dom Dolla Feat. Daya
34,I Remember Everything,Zach Bryan Feat. Kacey Musgraves
35,Squabble Up,Kendrick Lamar
36,"I Love You, I'm Sorry",Gracie Abrams
37,BMF,SZA
38,I'm The Problem,Morgan Wallen
39,Please Please Please,Sabrina Carpenter
40,Cry For Me,The Weeknd
41,Iris,Goo Goo Dolls
42,The Door,Teddy Swims
43,Stargazing,Myles Smith
44,Indigo,Sam Barber Feat. Avery Anna
45,Stick Season,Noah Kahan
46,Beautiful Crazy,Luke Combs
47,Hot To Go!,Chappell Roan
48,Born Again,Lisa Feat. Doja Cat & Raye
49,Dreams,Fleetwood Mac
50,Kisses,BL3SS x CamrinWatsin Feat. bbyclose
