Name,Vendor,Price,URL
KING - SRK's Favorite - Limited Edition,SCENTS N SECRETS,"Rs.3,490.00",https://scentsnsecrets.com/collections/perfumes-for-men/products/king-srk-perfume-inspired-by-diptyque-and-dunhill
The Harmony,Inspired by Sauvage Dior,"Regular price
Rs.1,390.00
Sale price
              Rs.1,290.00 - Rs.3,790.00

                  Save 7%",https://scentsnsecrets.com/collections/perfumes-for-men/products/the-harmony-inspired-by-sauvage-dior
Soul Inside,Inspired By Versace Eros,"Rs.990.00 - Rs.3,290.00",https://scentsnsecrets.com/collections/perfumes-for-men/products/soul-inside-inspired-by-versace-eros
Ocean Floor,Inspired By Bleu De Chanel,"Rs.990.00 - Rs.3,290.00",https://scentsnsecrets.com/collections/perfumes-for-men/products/ocean-floor-inspired-by-bleu-de-chanel
Rise of Blue,Inspired By Bvlgari Aqva,"Rs.990.00 - Rs.1,790.00",https://scentsnsecrets.com/collections/perfumes-for-men/products/rise-of-blue-inspired-by-bvlgari-aqva
Cuban Cocktail,Inspired By Creed Aventus,"Rs.990.00 - Rs.3,290.00",https://scentsnsecrets.com/collections/perfumes-for-men/products/cuban-cocktail-inspired-by-creed-aventus
Leonardo,Inspired By YSL Y,"Rs.2,390.00",https://scentsnsecrets.com/collections/perfumes-for-men/products/leonardo-inspired-by-ysl-y
Devil's Sea,Inspired By Azzaro Wanted,"Rs.1,090.00 - Rs.1,990.00",https://scentsnsecrets.com/collections/perfumes-for-men/products/devils-sea-inspired-by-azzaro-wanted
I Love Oud,Inspired By Oud Ispahan,"Regular price
Rs.1,390.00
Sale price
              Rs.1,290.00 - Rs.3,590.00

                  Save 7%",https://scentsnsecrets.com/collections/perfumes-for-men/products/i-love-oud-inspired-by-oud-ispahan
Smoke & Tobacco,Inspired By Mancera Red Tobacco,"Rs.1,490.00 - Rs.2,090.00",https://scentsnsecrets.com/collections/perfumes-for-men/products/smoke-n-tobacco-inspired-by-mancera-red-tobacco
Our Signature Perfume for Men,SCENTS N SECRETS,"Rs.990.00 - Rs.3,290.00",https://scentsnsecrets.com/collections/perfumes-for-men/products/our-signature-perfume-for-men
Oud Majesty,Inspired By Oud Wood,"Rs.990.00 - Rs.3,290.00",https://scentsnsecrets.com/collections/perfumes-for-men/products/oud-majesty-inspired-by-oud-wood
Waterloo,Inspired By Cool Water Perfume,"Regular price
Rs.1,990.00
Sale priceRs.1,790.00

                  Save 10%",https://scentsnsecrets.com/collections/perfumes-for-men/products/waterloo-inspired-by-cool-water-perfume
Dark Horse,Inspired By Mont Blanc Legend,"Rs.1,890.00",https://scentsnsecrets.com/collections/perfumes-for-men/products/dark-horse-inspired-by-mont-blanc-legend
King Arthur,Inspired By Lacoste white,"Rs.1,840.00",https://scentsnsecrets.com/collections/perfumes-for-men/products/king-arthur-inspired-by-lacoste-white
Pythagoras,Inspired By Dunhill Desire,"Rs.1,690.00 - Rs.2,990.00",https://scentsnsecrets.com/collections/perfumes-for-men/products/pythagoras-inspired-by-dunhill-desire
Black Heart,Inspired By Black Afgano Perfume,"Rs.1,940.00",https://scentsnsecrets.com/collections/perfumes-for-men/products/black-heart-inspired-by-black-afgano-perfume
Door To Hell,Inspired By Sauvage Elixir,"Rs.990.00 - Rs.2,150.00",https://scentsnsecrets.com/collections/perfumes-for-men/products/door-to-hell-inspired-by-sauvage-elixir
M-97,Inspired By Issey Miyake Perfume,"Rs.1,990.00",https://scentsnsecrets.com/collections/perfumes-for-men/products/m-97-inspired-by-issey-miyake-perfume
Heard Island,Inspired By Eternity Perfume,"Rs.1,740.00",https://scentsnsecrets.com/collections/perfumes-for-men/products/heard-island-inspired-by-eternity-perfume
Phantom 13,Inspired By 212 Men,"Regular price
Rs.2,390.00
Sale priceRs.2,090.00

                  Save 13%",https://scentsnsecrets.com/collections/perfumes-for-men/products/phantom-13-inspired-by-212-men-perfume
Aristotle For Men,SCENTS N SECRETS,"Rs.1,890.00",https://scentsnsecrets.com/collections/perfumes-for-men/products/aristotle-for-men
Mariana Trench,Inspired By CK One,"Regular price
Rs.1,290.00
Sale price
              Rs.1,090.00 - Rs.3,290.00

                  Save 16%",https://scentsnsecrets.com/collections/perfumes-for-men/products/mariana-trench-inspired-by-ck-one
Caspian Xclass,Inspired By Dolce & Gabbana The One,"Regular price
Rs.1,390.00
Sale price
              Rs.1,290.00 - Rs.2,090.00

                  Save 7%",https://scentsnsecrets.com/collections/perfumes-for-men/products/caspian-xclass-inspired-by-dolce-and-gabbana-the-one
Shakespear,Inspired By Terre D Hermes,"Rs.1,940.00",https://scentsnsecrets.com/collections/perfumes-for-men/products/shakespear-inspired-by-terre-d-hermes
The Alexander,Inspired By Polo sport,"Rs.1,840.00",https://scentsnsecrets.com/collections/perfumes-for-men/products/the-alexander-inspired-by-polo-sport
Citrus Cave,Inspired By Acqua Di Gio,"Rs.1,840.00",https://scentsnsecrets.com/collections/perfumes-for-men/products/citrus-cave-inspired-by-acqua-di-gio
Oak Island,Inspired By Tom Ford Tuscan Leather,"Rs.2,140.00 - Rs.3,490.00",https://scentsnsecrets.com/collections/perfumes-for-men/products/oak-island-inspired-by-tom-ford-tuscan-leather
