Rank,Movie Title
1,1. T.T.T. [Terror in Teruel Town]
2,2. All That Remains
3,3. The Caretaker
4,4. The Conclave of Shadows
5,5. Poppet
6,6. Dead Slate: Beginnings
7,7. Scream: The Fan Favorite
8,8. Sherlock Holmes: Mare of the Night
9,9. Clownface 3
10,10. Happy Birthday Luci
11,11. Michael and Ghostface: Best Buds the Movie
12,12. Doctor Faustus
13,13. God Loves You
14,14. Choo Mantar
15,15. Moksha
16,16. Hell Squad 2: Fresh Meat
17,17. 12 Deep Red Nights
18,18. Asgaar
19,19. Adrushya
20,20. Peripheral
21,21. Hunting Matthew Nichols
22,22. I Left My Heart in Colombia
23,23. Serial
24,24. Greet Your Demons
25,25. An Intruder Among Us
26,Recently viewed
